Indicator	Country	Region	RegionName	FB	NonFBCompValue	Diff	country_mean_DIFF	quartile
PartRate	SWE	SE31	North Middle Sweden	67.92835506	80.93268108	13.00432603	8.285457611	4
PartRate	SWE	SE32	Central Norrland	72.06809143	82.59636149	10.52827006	8.285457611	4
PartRate	SWE	SE33	Upper Norrland	75.49616749	80.90225125	5.406083758	8.285457611	3
Unemp	SWE	SE11	Stockholm	13.30841199	5.112297704	8.196114289	11.69749165	4
Unemp	SWE	SE12	East Middle Sweden	18.56986952	6.19994632	12.3699232	11.69749165	4
Unemp	SWE	SE21	Småland with Islands	15.93660838	4.783040417	11.15356796	11.69749165	4
Unemp	SWE	SE22	South Sweden	19.5349494	7.289987002	12.2449624	11.69749165	4
Unemp	SWE	SE23	West Sweden	15.25210721	5.487350615	9.764756598	11.69749165	4
Unemp	SWE	SE31	North Middle Sweden	22.85808282	6.649367433	16.20871539	11.69749165	4
Unemp	SWE	SE32	Central Norrland	21.56436227	5.785848102	15.77851417	11.69749165	4
Unemp	SWE	SE33	Upper Norrland	14.42551189	6.56213254	7.863379354	11.69749165	3
eduattain	SWE	SE11	Stockholm	42.56839766	44.91509689	2.346699236	-3.036545277	3
eduattain	SWE	SE12	East Middle Sweden	35.11730522	32.08593486	-3.031370359	-3.036545277	2
eduattain	SWE	SE21	Småland with Islands	29.3837717	28.3516916	-1.032080105	-3.036545277	2
eduattain	SWE	SE22	South Sweden	36.63951079	35.99855948	-0.640951309	-3.036545277	2
eduattain	SWE	SE23	West Sweden	34.00300025	35.578836	1.575835756	-3.036545277	3
eduattain	SWE	SE31	North Middle Sweden	30.46046184	25.70165535	-4.758806491	-3.036545277	2
eduattain	SWE	SE32	Central Norrland	37.46436133	26.83404005	-10.63032129	-3.036545277	1
eduattain	SWE	SE33	Upper Norrland	40.31352624	32.19215835	-8.121367894	-3.036545277	2
overQualRate	SWE	SE11	Stockholm	13.71955649	4.697285513	9.022270974	9.051520348	4
overQualRate	SWE	SE12	East Middle Sweden	12.74445794	4.815991986	7.928465953	9.051520348	4
overQualRate	SWE	SE21	Småland with Islands	13.56734147	4.594851383	8.972490082	9.051520348	4
overQualRate	SWE	SE22	South Sweden	14.14912316	5.512106014	8.637017144	9.051520348	4
overQualRate	SWE	SE23	West Sweden	12.71676265	5.262757397	7.454005255	9.051520348	4
overQualRate	SWE	SE31	North Middle Sweden	11.43862805	4.1460869	7.292541152	9.051520348	4
overQualRate	SWE	SE32	Central Norrland	18.49836795	4.536965082	13.96140286	9.051520348	4
overQualRate	SWE	SE33	Upper Norrland	14.33614448	5.192173225	9.143971251	9.051520348	4
ShareMig	TUR	TR10	Istanbul					
ShareMig	TUR	TR21	Thrace					
ShareMig	TUR	TR22	Southern Marmara - West					
ShareMig	TUR	TR31	Izmir					
ShareMig	TUR	TR32	Southern Aegean					
ShareMig	TUR	TR33	Northern Aegean					
ShareMig	TUR	TR41	Eastern Marmara - South 					
ShareMig	TUR	TR42	Eastern Marmara - North					
ShareMig	TUR	TR51	Ankara					
ShareMig	TUR	TR52	Central Anatolia - West and South					
ShareMig	TUR	TR61	Mediterranean region - West					
ShareMig	TUR	TR62	Mediterranean region - Middle					
ShareMig	TUR	TR63	Mediterranean region - East 					
ShareMig	TUR	TR71	Central Anatolia - Middle					
ShareMig	TUR	TR72	Central Anatolia - East					
ShareMig	TUR	TR81	Western Black Sea - West					
ShareMig	TUR	TR82	Western Black Sea - Middle and East					
ShareMig	TUR	TR83	Middle Black Sea					
ShareMig	TUR	TR90	Eastern Black Sea					
ShareMig	TUR	TRA1	Northeastern Anatolia - West					
ShareMig	TUR	TRA2	Northeastern Anatolia - East					
ShareMig	TUR	TRB1	Eastern Anatolia - West					
ShareMig	TUR	TRB2	Eastern Anatolia - East					
ShareMig	TUR	TRC1	Southeastern Anatolia - West 					
ShareMig	TUR	TRC2	Southeastern Anatolia - Middle					
ShareMig	TUR	TRC3	Southeastern Anatolia - East					
ChangeShareMig	TUR	TR10	Istanbul					
ChangeShareMig	TUR	TR21	Thrace					
ChangeShareMig	TUR	TR22	Southern Marmara - West					
ChangeShareMig	TUR	TR31	Izmir					
ChangeShareMig	TUR	TR32	Southern Aegean					
ChangeShareMig	TUR	TR33	Northern Aegean					
ChangeShareMig	TUR	TR41	Eastern Marmara - South 					
ChangeShareMig	TUR	TR42	Eastern Marmara - North					
ChangeShareMig	TUR	TR51	Ankara					
ChangeShareMig	TUR	TR52	Central Anatolia - West and South					
ChangeShareMig	TUR	TR61	Mediterranean region - West					
ChangeShareMig	TUR	TR62	Mediterranean region - Middle					
ChangeShareMig	TUR	TR63	Mediterranean region - East 					
ChangeShareMig	TUR	TR71	Central Anatolia - Middle					
ChangeShareMig	TUR	TR72	Central Anatolia - East					
ChangeShareMig	TUR	TR81	Western Black Sea - West					
ChangeShareMig	TUR	TR82	Western Black Sea - Middle and East					
ChangeShareMig	TUR	TR83	Middle Black Sea					
ChangeShareMig	TUR	TR90	Eastern Black Sea					
ChangeShareMig	TUR	TRA1	Northeastern Anatolia - West					
ChangeShareMig	TUR	TRA2	Northeastern Anatolia - East					
ChangeShareMig	TUR	TRB1	Eastern Anatolia - West					
ChangeShareMig	TUR	TRB2	Eastern Anatolia - East					
ChangeShareMig	TUR	TRC1	Southeastern Anatolia - West 					
ChangeShareMig	TUR	TRC2	Southeastern Anatolia - Middle					
ChangeShareMig	TUR	TRC3	Southeastern Anatolia - East					
